delay_fs,pos_mm,signal_dT_T
-1000.00,139.8502,-7.01224605e-04
-950.00,139.8576,4.34198704e-04
-900.00,139.8651,5.78517646e-04
-850.00,139.8726,-2.22891087e-04
-800.00,139.8801,6.46630465e-04
-750.00,139.8876,-2.38354697e-04
-700.00,139.8951,2.70029524e-04
-650.00,139.9026,2.18994691e-04
-600.00,139.9101,-1.49940220e-04
-550.00,139.9176,6.94506741e-04
-500.00,139.9251,-1.19411786e-04
-450.00,139.9326,1.53368838e-04
-400.00,139.9401,8.52621280e-04
-350.00,139.9476,1.59302794e-04
-300.00,139.9550,3.17991314e-04
-250.00,139.9625,6.63606997e-04
-200.00,139.9701,-2.81333946e-04
-150.00,139.9776,-5.69426028e-04
-100.00,139.9851,-9.76961450e-05
-50.00,139.9925,-5.71827778e-04
0.00,140.0001,1.98306182e-04
100.00,140.0149,1.10443332e-03
200.00,140.0299,-1.93249972e-04
300.00,140.0450,1.03840405e-04
400.00,140.0599,5.23890141e-04
500.00,140.0750,-9.27261696e-06
600.00,140.0898,3.04299430e-04
700.00,140.1050,6.97032793e-04
800.00,140.1199,-5.84650443e-04
900.00,140.1350,2.49909690e-04
